ID;Addor Jean-Luc;Aebi Andreas;Aebischer Matthias;Amaudruz Céline;Ammann Thomas;Arslan Sibel;Badran Jacqueline;Barrile Angelo;Bauer Philippe;Bäumle Martin;Béglé Claude;Bertschy Kathrin;Bigler Hans-Ulrich;Birrer-Heimo Prisca;Bourgeois Jacques;Brand Heinz;Brélaz Daniel;Buffat Michaël;Bühler Manfred;Bulliard-Marbach Christine;Burgherr Thomas;Burkart Thierry;Campell Duri;Candinas Martin;Carobbio Guscetti Marina;Chevalley Isabelle;Chiesa Marco;de Courten Thomas;de la Reussille Denis;Dettling Marcel;Dobler Marcel;Estermann Yvette;Eymann Christoph;Fehlmann Rielle Laurence;Feri Yvonne;Fiala Doris;Flach Beat;Fluri Kurt;Frehner Sebastian;Fridez Pierre-Alain;Friedl Claudia;Geissbühler Andrea Martina;Girod Bastien;Glanzmann-Hunkeler Ida;Glarner Andreas;Glättli Balthasar;Gmür Alois;Gmür-Schönenberger Andrea;Golay Roger;Gössi Petra;Graf Maya;Graf-Litscher Edith;Grin Jean-Pierre;Grossen Jürg;Grunder Hans;Grüter Franz;Gschwind Jean-Paul;Guhl Bernhard;Gysi Barbara;Hadorn Philipp;Hardegger Thomas;Heer Alfred;Herzog Verena;Hess Erich;Hess Lorenz;Humbel Ruth;Hurter Thomas;Imark Christian;Jans Beat;Jauslin Matthias Samuel;Keller-Inhelder Barbara;Knecht Hansjörg;Landolt Martin;Lohr Christian;Lüscher Christian;Markwalder Christa;Marra Ada;Marti Min Li;Masshardt Nadine;Matter Thomas;Mazzone Lisa;Meyer Mattea;Moser Tiana Angelina;Müller Leo;Müller-Altermatt Stefan;Munz Martina;Müri Felix;Naef Martin;Nantermod Philippe;Nicolet Jacques;Nidegger Yves;Nordmann Roger;Nussbaumer Eric;Page Pierre-André;Pantani Roberta;Pardini Corrado;Pieren Nadja;Piller Carrard Valérie;Portmann Hans-Peter;Quadranti Rosmarie;Quadri Lorenzo;Regazzi Fabio;Reimann Lukas;Reimann Maximilian;Reynard Mathias;Riklin Kathy;Rime Jean-François;Ritter Markus;Romano Marco;Rösti Albert;Ruppen Franz;Rutz Gregor;Rytz Regula;Salzmann Werner;Sauter Regine;Schilliger Peter;Schneeberger Daniela;Schneider-Schneiter Elisabeth;Schwander Pirmin;Seiler Graf Priska;Sollberger Sandra;Steinemann Barbara;Streiff-Feller Marianne;Thorens Goumaz Adèle;Vitali Albert;Vogt Hans-Ueli;von Siebenthal Erich;Walliser Bruno;Walti Beat;Wasserfallen Christian;Wehrli Laurent;Wermuth Cédric;Wobmann Walter;Zanetti Claudio
17.4268;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Enthaltung;Ja;Nein;Ja;Enthaltung;Enthaltung;Ja;Nein;Nein;Ja;Hat nicht teilgenommen;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Entschuldigt;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Entschuldigt;Ja;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Enthaltung;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Enthaltung;Enthaltung;Ja;Nein;Nein
17.4279;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Entschuldigt;Nein;Ja;Nein;Nein;Ja;Hat nicht teilgenommen;Nein;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Entschuldigt;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Hat nicht teilgenommen;Ja;Hat nicht teilgenommen;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja
17.429;Ja;Ja;Nein;Ja;Ja;Nein;Hat nicht teilgenommen;Nein;Ja;Nein;Enthaltung;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Hat nicht teilgenommen;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Enthaltung;Nein;Ja;Ja;Nein;Nein;Entschuldigt;Nein;Ja;Ja;Nein;Ja;Ja;Hat nicht teilgenommen;Ja;Nein;Nein;Ja;Nein;Hat nicht teilgenommen;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Hat nicht teilgenommen;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Enthaltung;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Hat nicht teilgenommen;Nein;Ja;Ja
17.430;Ja;Ja;Nein;Ja;Ja;Nein;Hat nicht teilgenommen;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Enthaltung;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Entschuldigt;Hat nicht teilgenommen;Ja;Ja;Entschuldigt;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Hat nicht teilgenommen;Ja;Ja
17.4308;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Hat nicht teilgenommen;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Entschuldigt;Ja;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Entschuldigt;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja
17.431;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Hat nicht teilgenommen;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Hat nicht teilgenommen;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Hat nicht teilgenommen;Nein;Nein
17.4324;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Ja;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Hat nicht teilgenommen;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Hat nicht teilgenommen;Nein;Nein
17.436;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Enthaltung;Entschuldigt;Hat nicht teilgenommen;Ja;Nein;Entschuldigt;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Enthaltung;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Enthaltung;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Hat nicht teilgenommen;Nein;Nein
17.44;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Enthaltung;Nein;Nein;Entschuldigt;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Enthaltung;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja
17.445;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Enthaltung;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Der Präsident stimmt nicht;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Entschuldigt;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Hat nicht teilgenommen;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Hat nicht teilgenommen;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Nein
17.446;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Entschuldigt;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Nein
17.455;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Hat nicht teilgenommen;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Der Präsident stimmt nicht;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Hat nicht teilgenommen;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Entschuldigt;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja
17.458;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Hat nicht teilgenommen;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Der Präsident stimmt nicht;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Hat nicht teilgenommen;Hat nicht teilgenommen;Ja;Ja;Nein;Nein;Nein;Entschuldigt;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Hat nicht teilgenommen;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Hat nicht teilgenommen;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Hat nicht teilgenommen;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja
17.459;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Entschuldigt;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja
17.462;Ja;Ja;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Der Präsident stimmt nicht;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Hat nicht teilgenommen;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Hat nicht teilgenommen;Ja;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Hat nicht teilgenommen;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Hat nicht teilgenommen;Ja;Ja
17.463;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Hat nicht teilgenommen;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Der Präsident stimmt nicht;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Hat nicht teilgenommen;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Entschuldigt;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein
17.465;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Hat nicht teilgenommen;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Entschuldigt;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Enthaltung;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Enthaltung;Nein;Enthaltung;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Enthaltung;Ja;Ja;Nein;Nein
17.467;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Hat nicht teilgenommen;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Der Präsident stimmt nicht;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Hat nicht teilgenommen;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Enthaltung;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Entschuldigt;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Nein
17.468;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Hat nicht teilgenommen;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Der Präsident stimmt nicht;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Hat nicht teilgenommen;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Entschuldigt;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Nein
17.469;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Der Präsident stimmt nicht;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Entschuldigt;Ja;Nein;Ja;Entschuldigt;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Hat nicht teilgenommen;Ja;Nein;Hat nicht teilgenommen;Ja;Nein;Ja;Ja;Hat nicht teilgenommen;Nein;Enthaltung;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Entschuldigt;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Entschuldigt;Entschuldigt;Nein;Nein;Ja;Nein;Ja;Hat nicht teilgenommen;Entschuldigt;Nein
17.471;Nein;Nein;Ja;Nein;Ja;Enthaltung;Ja;Ja;Ja;Ja;Ja;Ja;Enthaltung;Ja;Ja;Nein;Nein;Nein;Hat nicht teilgenommen;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Enthaltung;Nein;Ja;Ja;Enthaltung;Entschuldigt;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Enthaltung;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Enthaltung;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Enthaltung;Enthaltung;Nein;Ja;Ja;Nein;Nein;Nein;Enthaltung;Nein;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Enthaltung;Ja;Ja;Ja;Nein;Nein
